date,gasolina95_pvp_eur_l,gasoleo_pvp_eur_l
2015-03-31,,1.19
2015-04-20,1.394,1.139
2015-04-21,1.4243,1.162
2015-04-22,1.4243,1.162
2015-04-23,1.4243,1.162
2015-04-24,1.4243,1.162
2015-04-25,1.4243,1.162
2015-04-26,1.4243,1.162
2015-04-27,1.4243,1.162
2015-04-28,1.4383,1.172
2015-04-29,1.4383,1.172
2015-04-30,1.4383,1.172
2015-05-01,1.4383,1.172
2015-05-02,1.4383,1.172
2015-05-03,1.4383,1.172
2015-05-04,1.449,1.1801
2015-05-05,1.449,1.1801
2015-05-06,1.449,1.1801
2015-05-07,1.449,1.1801
2015-05-08,1.449,1.1801
2015-05-09,1.449,1.1801
2015-05-10,1.449,1.1801
2015-05-11,1.4478,1.1817
2015-05-12,1.4478,1.1849
2015-05-13,1.4478,1.1849
2015-05-14,1.4478,1.1849
2015-05-15,1.4478,1.1849
2015-05-16,1.4478,1.1849
2015-05-17,1.4478,1.1849
2015-05-18,1.4484,1.1825
2015-05-19,1.4484,1.1825
2015-05-20,1.4484,1.1825
2015-05-21,1.4489,1.1875
2015-05-22,1.4489,1.1875
2015-05-23,1.4489,1.1875
2015-05-24,1.4489,1.1875
2015-05-25,1.4489,1.1875
2015-05-26,1.452,1.187
2015-05-27,1.452,1.187
2015-05-28,1.452,1.187
2015-05-29,1.452,1.187
2015-05-30,1.452,1.187
2015-05-31,1.452,1.187
2015-06-01,1.5168,1.2484
2015-06-02,1.5175,1.2461
2015-06-03,1.5173,1.2457
2015-06-04,1.5176,1.2459
2015-06-05,1.517,1.2436
2015-06-06,1.5121,1.2393
2015-06-07,1.5123,1.2396
2015-06-08,1.5191,1.2416
2015-06-09,1.5215,1.2386
2015-06-10,1.5214,1.2382
2015-06-11,1.5214,1.238
2015-06-12,1.521,1.2359
2015-06-13,1.5164,1.2319
2015-06-14,1.5166,1.2321
2015-06-15,1.5256,1.2364
2015-06-16,1.5299,1.2379
2015-06-17,1.5303,1.2376
2015-06-18,1.5304,1.2373
2015-06-19,1.5301,1.2364
2015-06-20,1.5252,1.2321
2015-06-21,1.5253,1.2324
2015-06-22,1.5311,1.2356
2015-06-23,1.5316,1.2303
2015-06-24,1.5314,1.2299
2015-06-25,1.5331,1.2391
2015-06-26,1.5325,1.2381
2015-06-27,1.5276,1.2332
2015-06-28,1.5278,1.2336
2015-06-29,1.5284,1.2384
2015-06-30,1.5211,1.2368
2015-07-01,1.5191,1.2348
2015-07-02,1.5188,1.2347
2015-07-03,1.5183,1.2341
2015-07-04,1.5138,1.2294
2015-07-05,1.5141,1.2298
2015-07-06,1.5234,1.2347
2015-07-07,1.5267,1.2327
2015-07-08,1.5262,1.2324
2015-07-09,1.526,1.2323
2015-07-10,1.5256,1.2316
2015-07-11,1.5189,1.2259
2015-07-12,1.5192,1.2261
2015-07-13,1.5379,1.2176
2015-07-14,1.5438,1.2076
2015-07-15,1.5444,1.207
2015-07-16,1.5447,1.2069
2015-07-17,1.5443,1.2062
2015-07-18,1.5399,1.2017
2015-07-19,1.54,1.2019
2015-07-20,1.5341,1.2078
2015-07-21,1.5211,1.2074
2015-07-22,1.5203,1.2071
2015-07-23,1.5202,1.207
2015-07-24,1.5197,1.2063
2015-07-25,1.5151,1.2016
2015-07-26,1.5152,1.2019
2015-07-27,1.5161,1.2038
2015-07-28,1.5092,1.197
2015-07-29,1.5086,1.1961
2015-07-30,1.5086,1.196
2015-07-31,1.5088,1.1981
2015-08-01,1.5028,1.1926
2015-08-02,1.5029,1.1929
2015-08-03,1.5012,1.1901
2015-08-04,1.4942,1.1829
2015-08-05,1.4919,1.18
2015-08-06,1.491,1.1789
2015-08-07,1.4903,1.1781
2015-08-08,1.4843,1.1726
2015-08-09,1.4846,1.1729
2015-08-10,1.4855,1.1708
2015-08-11,1.4786,1.1632
2015-08-12,1.4767,1.1613
2015-08-13,1.4762,1.1609
2015-08-14,1.4735,1.1592
2015-08-15,1.4675,1.1538
2015-08-16,1.4675,1.1541
2015-08-17,1.4607,1.1595
2015-08-18,1.4493,1.159
2015-08-19,1.448,1.1586
2015-08-20,1.4478,1.1586
2015-08-21,1.447,1.1578
2015-08-22,1.441,1.1525
2015-08-23,1.4411,1.1528
2015-08-24,1.4345,1.1546
2015-08-25,1.4176,1.1473
2015-08-26,1.4166,1.1468
2015-08-27,1.4162,1.1467
2015-08-28,1.4155,1.146
2015-08-29,1.4096,1.1406
2015-08-30,1.4095,1.1407
2015-08-31,1.3927,1.129
2015-09-01,1.3737,1.1192
2015-09-02,1.3717,1.1181
2015-09-03,1.37,1.1178
2015-09-04,0.0,0.0
2015-09-05,0.0,0.0
2015-09-06,0.0,0.0
2015-09-07,0.0,0.0
2015-09-08,0.0,0.0
2015-09-09,0.0,0.0
2015-09-10,0.0,0.0
2015-09-11,0.0,0.0
2015-09-12,0.0,0.0
2015-09-13,0.0,0.0
2015-09-14,0.0,0.0
